%Timestamp,timestamp_write;timestamp_gotpupil;eyetrackertime;norm_pos;diameter;confidence;timestamp_gotbitdata;CRC;SEQ;AnalogOutp1;AnalogOutp2;AnalogOutp3;AnalogOutp4;AnalogOutp5;AnalogOutp6;DigitalOutp1;DigitalOutp2;igitalOutp3;DigitalOutp4;nplanes;lastaction;lastactiondetails;positivescore;negativescore;targetpositions;collision_point
06:40:29:327;;;;;;;;;;;;;;06:40:29:311;1447954827.09;(0.32067084312438965, 0.24337081909179692);26.4761981964;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:29:329;;;;;;;;;;;;;;06:40:29:311;1447954827.09;(0.32067084312438965, 0.24337081909179692);26.4761981964;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:29:342;;;;;;;;;;;;;;06:40:29:311;1447954827.09;(0.32067084312438965, 0.24337081909179692);26.4761981964;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:29:361;;;;;;;;;;;;;;06:40:29:311;1447954827.09;(0.32067084312438965, 0.24337081909179692);26.4761981964;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:29:378;;;;;;;;;;;;;;06:40:29:311;1447954827.09;(0.32067084312438965, 0.24337081909179692);26.4761981964;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:29:411;;;;;;;;;;;;;;06:40:29:395;1447954827.16;(0.32080397605895994, 0.2430285983615451);26.413225174;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:29:429;;;;;;;;;;;;;;06:40:29:395;1447954827.16;(0.32080397605895994, 0.2430285983615451);26.413225174;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:29:448;;;;;;;;;;;;;;06:40:29:434;1447954827.23;(0.3205667018890381, 0.2429701063368056);26.3408317566;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:29:465;;;;;;;;;;;;;;06:40:29:434;1447954827.23;(0.3205667018890381, 0.2429701063368056);26.3408317566;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:29:481;;;;;;;;;;;;;;06:40:29:434;1447954827.23;(0.3205667018890381, 0.2429701063368056);26.3408317566;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:29:515;;;;;;;;;;;;;;06:40:29:434;1447954827.23;(0.3205667018890381, 0.2429701063368056);26.3408317566;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:29:543;;;;;;;;;;;;;;06:40:29:518;1447954827.29;(0.3208762168884277, 0.243078867594401);26.4875469208;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:29:545;;;;;;;;;;;;;;06:40:29:518;1447954827.29;(0.3208762168884277, 0.243078867594401);26.4875469208;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:29:560;;;;;;;;;;;;;;06:40:29:518;1447954827.29;(0.3208762168884277, 0.243078867594401);26.4875469208;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:29:593;;;;;;;;;;;;;;06:40:29:563;1447954827.36;(0.321007227897644, 0.24315872192382815);26.5970726013;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:29:610;;;;;;;;;;;;;;06:40:29:563;1447954827.36;(0.321007227897644, 0.24315872192382815);26.5970726013;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:29:626;;;;;;;;;;;;;;06:40:29:563;1447954827.36;(0.321007227897644, 0.24315872192382815);26.5970726013;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:29:643;;;;;;;;;;;;;;06:40:29:642;1447954827.43;(0.320721435546875, 0.2430595397949219);26.4474544525;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:29:659;;;;;;;;;;;;;;06:40:29:642;1447954827.43;(0.320721435546875, 0.2430595397949219);26.4474544525;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
06:40:29:692;;;;;;;;;;;;;;06:40:29:642;1447954827.43;(0.320721435546875, 0.2430595397949219);26.4474544525;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
