%Timestamp,timestamp_write;timestamp_gotpupil;eyetrackertime;norm_pos;diameter;confidence;nplanes;lastaction;lastactiondetails;positivescore;negativescore;targetpositions;collision_point
08:14:25:754;08:14:25:726;1447960463.54;(0.3158564567565918, 0.2502113342285156);26.7508621216;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:25:775;08:14:25:726;1447960463.54;(0.3158564567565918, 0.2502113342285156);26.7508621216;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:25:792;08:14:25:726;1447960463.54;(0.3158564567565918, 0.2502113342285156);26.7508621216;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:25:811;08:14:25:793;1447960463.61;(0.31584742069244387, 0.25053058200412326);26.1396942139;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:25:828;08:14:25:793;1447960463.61;(0.31584742069244387, 0.25053058200412326);26.1396942139;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:25:845;08:14:25:793;1447960463.61;(0.31584742069244387, 0.25053058200412326);26.1396942139;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:25:878;08:14:25:860;1447960463.68;(0.31578400135040285, 0.2505018446180556);26.6931552887;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:25:894;08:14:25:860;1447960463.68;(0.31578400135040285, 0.2505018446180556);26.6931552887;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:25:911;08:14:25:860;1447960463.68;(0.31578400135040285, 0.2505018446180556);26.6931552887;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:25:928;08:14:25:925;1447960463.74;(0.3154728412628174, 0.2502271864149306);26.5458068848;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:25:944;08:14:25:925;1447960463.74;(0.3154728412628174, 0.2502271864149306);26.5458068848;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:25:980;08:14:25:925;1447960463.74;(0.3154728412628174, 0.2502271864149306);26.5458068848;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:25:997;08:14:25:993;1447960463.81;(0.3153968334197998, 0.250522698296441);26.5400848389;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:26:015;08:14:25:993;1447960463.81;(0.3153968334197998, 0.250522698296441);26.5400848389;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:26:031;08:14:25:993;1447960463.81;(0.3153968334197998, 0.250522698296441);26.5400848389;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:26:048;08:14:25:993;1447960463.81;(0.3153968334197998, 0.250522698296441);26.5400848389;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
08:14:26:064;08:14:26:058;1447960463.88;(0.3154680490493774, 0.25076132880316837);26.4426822662;1.0;2;0;0;0;0;();(-2000.0, -2000.0);
