%Timestamp,timestamp_write;timestamp_gotpupil;eyetrackertime;norm_pos;diameter;confidence;timestamp_gotbitdata;CRC;SEQ;AnalogOutp1;AnalogOutp2;AnalogOutp3;AnalogOutp4;AnalogOutp5;AnalogOutp6;DigitalOutp1;DigitalOutp2;igitalOutp3;DigitalOutp4;nplanes;lastaction;lastactiondetails;lastactionairplanenumber;positivescore;negativescore;collidedairplanenumbers;targetpositions;collision_point
04:37:48:636;1448034826.66;(0, 0);0;0;;;;;;;;;;;;;;0;0;0;;0;0;();();(0.0, 0.0);
04:37:50:886;04:37:50:886;1448034828.93;(0.3383219242095947, 0.826142692565918);29.1589756012;0.878671548167;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:50:904;04:37:50:886;1448034828.93;(0.3383219242095947, 0.826142692565918);29.1589756012;0.878671548167;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:50:920;04:37:50:886;1448034828.93;(0.3383219242095947, 0.826142692565918);29.1589756012;0.878671548167;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:50:937;04:37:50:886;1448034828.93;(0.3383219242095947, 0.826142692565918);29.1589756012;0.878671548167;;;;;;;;;;;;;;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:51:491;04:37:51:482;1448034829.53;(0.34263646602630615, 0.795916387769911);36.0490722656;0.643875321117;04:37:51:488;0;9;-1.5;1;0;0;0;0;1;1;1;1;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:51:491;04:37:51:482;1448034829.53;(0.34263646602630615, 0.795916387769911);36.0490722656;0.643875321117;04:37:51:491;0;9;-1.5;1;0;0;0;0;1;1;1;1;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:51:491;04:37:51:482;1448034829.53;(0.34263646602630615, 0.795916387769911);36.0490722656;0.643875321117;04:37:51:491;0;9;-1.5;1;0;0;0;0;1;1;1;1;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:51:492;04:37:51:482;1448034829.53;(0.34263646602630615, 0.795916387769911);36.0490722656;0.643875321117;04:37:51:492;0;11;-1.5;1;0;0;0;0;1;1;1;1;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:51:492;04:37:51:482;1448034829.53;(0.34263646602630615, 0.795916387769911);36.0490722656;0.643875321117;04:37:51:492;0;1;-1.5;1;0;0;0;0;1;1;1;1;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:51:492;04:37:51:482;1448034829.53;(0.34263646602630615, 0.795916387769911);36.0490722656;0.643875321117;04:37:51:492;0;5;-1.5;1;0;0;0;0;1;1;1;1;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:51:492;04:37:51:482;1448034829.53;(0.34263646602630615, 0.795916387769911);36.0490722656;0.643875321117;04:37:51:492;0;5;-1.5;1;0;0;0;0;1;1;1;1;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:51:493;04:37:51:482;1448034829.53;(0.34263646602630615, 0.795916387769911);36.0490722656;0.643875321117;04:37:51:493;0;5;-1.5;1;0;0;0;0;1;1;1;1;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:51:493;04:37:51:482;1448034829.53;(0.34263646602630615, 0.795916387769911);36.0490722656;0.643875321117;04:37:51:493;0;5;-1.5;1;0;0;0;0;1;1;1;1;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:51:493;04:37:51:482;1448034829.53;(0.34263646602630615, 0.795916387769911);36.0490722656;0.643875321117;04:37:51:493;0;5;-1.5;1;0;0;0;0;1;1;1;1;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:51:493;04:37:51:482;1448034829.53;(0.34263646602630615, 0.795916387769911);36.0490722656;0.643875321117;04:37:51:493;0;5;-1.5;1;0;0;0;0;1;1;1;1;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:51:493;04:37:51:482;1448034829.53;(0.34263646602630615, 0.795916387769911);36.0490722656;0.643875321117;04:37:51:493;0;5;-1.5;1;0;0;0;0;1;1;1;1;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:51:494;04:37:51:482;1448034829.53;(0.34263646602630615, 0.795916387769911);36.0490722656;0.643875321117;04:37:51:494;0;5;-1.5;1;0;0;0;0;1;1;1;1;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:51:494;04:37:51:482;1448034829.53;(0.34263646602630615, 0.795916387769911);36.0490722656;0.643875321117;04:37:51:494;0;5;-1.5;1;0;0;0;0;1;1;1;1;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:51:494;04:37:51:482;1448034829.53;(0.34263646602630615, 0.795916387769911);36.0490722656;0.643875321117;04:37:51:494;0;5;-1.5;1;0;0;0;0;1;1;1;1;0;0;0;;0;0;();();(-2000.0, -2000.0);
04:37:51:494;04:37:51:482;1448034829.53;(0.34263646602630615, 0.795916387769911);36.0490722656;0.643875321117;04:37:51:494;0;5;-1.5;1;0;0;0;0;1;1;1;1;0;0;0;;0;0;();();(-2000.0, -2000.0);
